fn,anon_exec,authed_exec,svc_exec,is_trigger,mutates,gated_heur,bucket
pg_try_discover_cache_build_lock,1,1,1,0,1,0,A_MUT_UNGATED
pg_venue_available_slots,1,1,1,0,0,0,C_RO_UNGATED
pg_venue_reservable_for_place,1,1,1,0,0,0,C_RO_UNGATED
phone_has_used_trial,1,1,1,0,0,0,C_RO_UNGATED
query_person_hero_places_by_signal,0,1,1,0,0,0,NOT_ANON
query_servable_places_by_signal,1,1,1,0,0,0,C_RO_UNGATED
query_servable_places_by_signal_intersection,1,1,1,0,0,0,C_RO_UNGATED
recalculate_user_level,1,1,1,0,1,0,A_MUT_UNGATED
recompute_deck_version_after_prefs_change,1,1,1,1,1,0,TRIGGER
record_engagement,0,1,1,0,1,1,NOT_ANON
record_partner_split_attempt,1,1,1,0,1,0,A_MUT_UNGATED
record_paystack_partner_split_attempt,1,1,1,0,1,0,A_MUT_UNGATED
record_trial_phone,1,1,1,0,1,0,A_MUT_UNGATED
release_advisory_lock_rules_run,1,1,1,0,0,0,C_RO_UNGATED
remove_friend_atomic,1,1,1,0,1,1,B_MUT_GATED
remove_participant_prefs,1,1,1,0,1,0,A_MUT_UNGATED
remove_session_member_from_conversation,1,1,1,1,1,0,TRIGGER
resolve_brand_pricing_inputs,0,0,1,0,0,0,NOT_ANON
resolve_effective_take_rate_bps,1,1,1,0,0,0,C_RO_UNGATED
resolve_event_pricing_inputs,1,1,1,0,0,0,C_RO_UNGATED
resolve_partner_for_brand_at_time,1,1,1,0,0,0,C_RO_UNGATED
resolve_user_visibility_by_identifier,1,1,1,0,0,1,D_RO_GATED
reveal_pair_requests_on_friend_accept,1,1,1,1,1,0,TRIGGER
rpc_admin_lock_and_schedule_card,1,1,1,0,1,1,B_MUT_GATED
rpc_force_deck_recycle,1,1,1,0,1,1,B_MUT_GATED
rpc_post_collab_dead_end_banner,1,1,1,0,1,1,B_MUT_GATED
rpc_record_swipe_and_check_match,1,1,1,0,1,1,B_MUT_GATED
set_marketing_suppression,0,1,1,0,1,1,NOT_ANON
st_estimatedextent,1,1,1,0,0,0,C_RO_UNGATED
st_estimatedextent,1,1,1,0,0,0,C_RO_UNGATED
st_estimatedextent,1,1,1,0,0,0,C_RO_UNGATED
stamp_event_pricing_lock_on_first_order,1,1,1,1,1,0,TRIGGER
submit_event_rsvp,1,1,1,0,1,0,A_MUT_UNGATED
support_set_available,1,1,1,0,1,1,B_MUT_GATED
sync_session_member_to_conversation,1,1,1,1,1,0,TRIGGER
tg_brands_derive_pricing_from_default,1,1,1,1,0,0,TRIGGER
tg_enforce_event_ticket_currency,1,1,1,1,0,0,TRIGGER
tg_intake_schemas_re_answer_dispatch,1,1,1,1,1,0,TRIGGER
tg_kick_pending_thumb_backfill,1,1,1,0,0,0,C_RO_UNGATED
tg_kick_pending_trial_runs,1,1,1,0,1,0,A_MUT_UNGATED
tg_meta_orch_1009_sub_d_drift_queue_reeval,1,1,1,1,1,0,TRIGGER
tg_meta_orch_1009_sub_d_kick_rescores,1,1,1,0,0,0,C_RO_UNGATED
tg_meta_orch_1009_sub_d_quarterly_sweep,1,1,1,0,0,0,C_RO_UNGATED
tg_require_event_brand_currency,1,1,1,1,0,0,TRIGGER
tg_sync_brand_stripe_cache,1,1,1,1,1,0,TRIGGER
touch_collab_session_on_participants_change,1,1,1,1,1,0,TRIGGER
truncate_seed_map_presence,1,0,1,0,0,0,C_RO_UNGATED
try_advisory_lock_rules_run,1,1,1,0,0,0,C_RO_UNGATED
unpair_atomic,1,1,1,0,1,1,B_MUT_GATED
update_session_last_activity,1,1,1,1,1,0,TRIGGER
upsert_participant_prefs,1,1,1,0,1,0,A_MUT_UNGATED
venue_intelligence_overview,0,1,1,0,0,1,NOT_ANON
